feature,importance
macd_hist_slope,0.079268865
ema_cross_50,0.066204496
macd_hist,0.06319258
ema_spread_velocity,0.05810635
macd_signal,0.056288708
macd,0.052351773
ema_cross,0.047521636
bb_width,0.03767318
price_vs_ema50,0.028153853
range_pct_20,0.024925971
atr_pct,0.023947723
roc_10,0.023126906
roc_5,0.02280134
ret_lag5,0.022615254
near_high50,0.022122681
ret_lag3,0.019627273
roc_3,0.018639052
price_vs_ema9,0.01450549
roc_20,0.013332873
near_low20,0.012566592
dist_from_ema20,0.011332473
ret_lag8,0.011207904
hl_range,0.010615104
ret_lag2,0.008142664
bb_position,0.007737888
near_high20,0.0076643243
vol_ratio,0.0072441734
price_vs_ema21,0.007236129
hour,0.0069593526
gap,0.006914592
hvol_20,0.0068937824
vwap_slope,0.0065292735
session_frac,0.0064812787
bb_squeeze,0.006158876
mins_since_open,0.0060922494
is_trending,0.0060779126
cci_20,0.005903798
is_first_30min,0.0058985623
dist_from_vwap,0.005841605
candle_body_pct,0.005782103
nifty_atr_pct,0.0055614198
price_vs_vwap,0.005535648
above_vwap,0.005437311
day_of_week,0.0053848675
ret_lag13,0.0052159927
rsi_21,0.0051484737
atr_ratio,0.0051025227
is_friday,0.004926655
willr_14,0.0048810737
stoch_cross,0.004835344
distance_from_day_high,0.0045584366
stoch_d,0.0044929245
vwm_10,0.0043370132
stoch_k,0.0041041393
kc_position,0.004102944
trend_strength,0.0040353993
is_monday,0.0039562485
nifty_trend,0.0038986448
is_last_30min,0.0038444528
range_expansion,0.0035143853
upper_wick,0.0034372217
vwm_5,0.003373627
body,0.0031045345
ret_lag1,0.0030704131
rsi_7,0.003058783
nifty_rsi,0.0029142282
rsi_14,0.0028216655
rs_vs_nifty,0.0026288715
nifty_above_ema20,0.002586017
vol_acceleration,0.0025235673
rsi_slope,0.002355682
rs_acceleration,0.0022988399
nifty_roc5,0.002294286
close_position_in_range,0.0022647448
lower_wick,0.001978997
strong_bull_candle,0.0018455039
nifty_ret_5,0.0017813585
autocorr_5,0.0017588076
nifty_ret_1,0.0017569058
minute,0.0014872103
hammer,0.001448182
shooting_star,0.0013491948
doji,0.0013008178
vol_spike,0.0
breakout_confirm,0.0
